x,y,z,w0,w1,w2,w3
231.426,19.0996,-2.17E-19,0,0,0.0108646,0.999941
231.435,19.0996,-5.37E-18,0,0,-0.843342,0.537378
231.394,19.0055,1.8023,0,0,-0.818567,0.574411
231.372,18.9087,3.78977,0,0,-0.729962,0.683488
231.363,18.8102,-3.75391,0,0,-0.823891,0.566748
231.354,18.7889,-1.63E-17,0,0,-0.783276,0.621674
231.33,18.6916,-0.451137,0,0,-0.790235,0.612803
231.303,18.5954,-0.380461,0,0,-0.803905,0.594758
231.272,18.5003,-0.184416,0,0,-0.812468,0.583005
231.246,18.4227,-2.14E-18,0,0,-0.802417,0.596763
231.217,18.3268,0.180718,0,0,-0.799713,0.600382
231.19,18.2305,0.27577,0,0,-0.792454,0.609932
231.166,18.1335,0.116107,0,0,-0.785382,0.619011
231.156,18.0898,-4.97E-18,0,0,-0.805469,0.592638
231.126,17.9943,-0.0117722,0,0,-0.805643,0.592401
231.096,17.8989,0.0110032,0,0,-0.805916,0.59203
231.066,17.8034,0.0699076,0,0,-0.804717,0.593659
231.037,17.7078,0.0489644,0,0,-0.802923,0.596083
231.008,17.612,0.0261967,0,0,-0.801801,0.597591
230.98,17.5162,0.0034319,0,0,-0.801358,0.598185
230.975,17.5017,3.32E-17,0,0,-0.792699,0.609613
230.948,17.4055,-1.01422,0,0,-0.807889,0.589334
230.913,17.3116,0.568788,0,0,-0.824497,0.565866
230.884,17.2164,1.40271,0,0,-0.780218,0.625508
230.867,17.1244,5.34E-17,0,0,-0.701652,0.71252
230.865,17.0239,-2.28201,0,0,-0.740471,0.672088
230.843,16.9271,-0.834883,0,0,-0.815301,0.579037
230.812,16.8317,3.27919,0,0,-0.774924,0.632054
230.804,16.7322,0.704429,0,0,-0.708771,0.705438
230.804,16.7028,9.77E-20,0,0,-0.755048,0.65567
230.791,16.6036,0.467441,0,0,-0.747341,0.664441
230.782,16.5041,0.282305,0,0,-0.729712,0.683754
230.776,16.4042,-0.269052,0,0,-0.73184,0.681477
230.768,16.3046,-0.16892,0,0,-0.739259,0.673422
230.758,16.2051,-0.0686925,0,0,-0.743246,0.669018
230.75,16.1369,1.46E-16,0,0,-0.679106,0.73404
230.755,16.0364,-1.96252,0,0,-0.713825,0.700324
230.741,15.9379,-1.19828,0,0,-0.790736,0.612157
230.717,15.8407,2.91075,0,0,-0.764941,0.6441
230.714,15.7416,1.5329,0,0,-0.673768,0.738942
230.723,15.6708,-1.74E-18,0,0,-0.725842,0.687861
230.718,15.571,-0.103321,0,0,-0.727617,0.685984
230.711,15.4712,0.0370333,0,0,-0.731067,0.682305
230.705,15.3714,0.483331,0,0,-0.722137,0.69175
230.703,15.2714,0.302178,0,0,-0.708401,0.705811
230.704,15.1714,0.120337,0,0,-0.700907,0.713253
230.705,15.1049,1.38E-17,0,0,-0.765775,0.643109
230.69,15.0059,1.31427,0,0,-0.744359,0.66778
230.687,14.9062,0.462516,0,0,-0.700837,0.713321
230.687,14.8061,-1.51372,0,0,-0.719216,0.694786
230.678,14.7067,-0.554786,0,0,-0.754559,0.656232
230.669,14.65,-2.28E-19,0,0,-0.752966,0.658059
230.657,14.5506,0.627166,0,0,-0.742577,0.669761
230.651,14.4509,0.839589,0,0,-0.711768,0.702415
230.652,14.3509,-0.470608,0,0,-0.705297,0.708912
230.648,14.251,-0.495128,0,0,-0.729694,0.683774
230.642,14.1728,4.72E-18,0,0,-0.726043,0.68765
230.637,14.073,-0.0887886,0,0,-0.727567,0.686036
230.63,13.9732,-0.0371652,0,0,-0.731057,0.682316
230.624,13.8734,0.154613,0,0,-0.728506,0.68504
230.618,13.7736,0.0553357,0,0,-0.7249,0.688854
230.615,13.7179,6.50E-17,0,0,-0.699678,0.714459
230.617,13.6179,-0.519715,0,0,-0.708892,0.705318
230.613,13.518,-0.32223,0,0,-0.7304,0.68302
230.606,13.4182,0.76195,0,0,-0.722831,0.691025
230.605,13.3182,0.331743,0,0,-0.703668,0.710529
230.606,13.2408,-1.93E-16,0,0,-0.786404,0.617712
230.585,13.1427,1.52188,0,0,-0.762572,0.646903
230.578,13.0434,0.933746,0,0,-0.704015,0.710186
230.579,12.9433,-1.4851,0,0,-0.713696,0.700455
230.571,12.8437,-0.636211,0,0,-0.751036,0.660261
230.561,12.7747,-2.72E-17,0,0,-0.738383,0.674381
230.554,12.6749,0.812077,0,0,-0.724584,0.689187
230.554,12.5751,0.697985,0,0,-0.688729,0.725019
230.56,12.4752,-0.575118,0,0,-0.686527,0.727104
230.562,12.3752,-0.396645,0,0,-0.709737,0.704467
230.561,12.3087,5.11E-18,0,0,-0.726942,0.686699
230.556,12.2088,0.0622826,0,0,-0.725872,0.68783
230.551,12.109,-0.0422651,0,0,-0.723611,0.690208
230.545,12.0091,-0.481418,0,0,-0.732579,0.680682
230.535,11.9096,-0.291094,0,0,-0.747919,0.66379
230.525,11.8315,-2.74E-17,0,0,-0.717374,0.696688
230.521,11.7316,-0.535555,0,0,-0.72663,0.687029
230.512,11.632,-0.417369,0,0,-0.750043,0.661389
230.5,11.5327,1.00741,0,0,-0.740271,0.672308
230.496,11.433,0.671233,0,0,-0.704223,0.709978
230.498,11.3544,0,0,0,-0.701721,0.712452
230.499,11.2544,-0.376908,0,0,-0.708399,0.705812
230.496,11.1545,-0.386707,0,0,-0.725255,0.688481
230.49,11.0546,0.0585182,0,0,-0.730874,0.682512
230.484,10.9548,0.0412103,0,0,-0.728303,0.685255
230.48,10.8995,-2.71E-17,0,0,-0.692395,0.721519
230.483,10.7993,-0.895672,0,0,-0.708308,0.705904
230.477,10.6997,-1.08394,0,0,-0.750314,0.661082
230.461,10.601,0.14997,0,0,-0.765441,0.643506
230.446,10.502,0.469346,0,0,-0.748491,0.663145
230.435,10.4025,0.011063,0,0,-0.74047,0.672089
230.435,10.4001,8.51E-18,0,0,-0.745541,0.666459
230.424,10.3008,0.0880927,0,0,-0.744071,0.668101
230.414,10.2012,0.394786,0,0,-0.738443,0.674316
230.408,10.1014,1.16835,0,0,-0.711593,0.702592
230.412,10.0015,0.489158,0,0,-0.67872,0.734397
230.417,9.94519,-3.24E-18,0,0,-0.744277,0.667871
230.406,9.84579,-0.0192562,0,0,-0.744599,0.667513
230.395,9.74641,-0.0384989,0,0,-0.745562,0.666437
230.384,9.64705,-0.0577114,0,0,-0.747163,0.664641
230.372,9.54771,0.192614,0,0,-0.745986,0.665961
230.363,9.44821,0.472258,0,0,-0.733955,0.679198
230.357,9.34839,0.172849,0,0,-0.722909,0.690943
230.354,9.29052,1.73E-18,0,0,-0.725996,0.687699
230.349,9.19068,-0.0921864,0,0,-0.727579,0.686024
230.342,9.09087,0.0611222,0,0,-0.730446,0.682971
230.337,8.99103,0.522746,0,0,-0.720406,0.693552
230.335,8.89107,0.267599,0,0,-0.705142,0.709066
230.336,8.81338,-5.13E-18,0,0,-0.728587,0.684953
230.33,8.71357,0.0947464,0,0,-0.726962,0.686678
230.325,8.61368,-0.0627797,0,0,-0.724,0.6898
